Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku Type,Principla
04/11/2023,1200,COL23-04C-0104,Cost of sales,,1002.95,J & J STORE (GINGOOG),NONITO TEE,1,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,1100,COL23-04C-0104,J & J STORE (GINGOOG),1077.36,,J & J STORE (GINGOOG),NONITO TEE,,,,CASE,CIFPI
04/11/2023,4000,COL23-04C-0105,V FRESH WINTER 50PCSX40,,1513.6,RJE GROCERY (MALITBOG),JOEL TAMBIS,1,988,V FRESH WINTER 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0105,Cost of sales,1227.67,,RJE GROCERY (MALITBOG),JOEL TAMBIS,1,988,V FRESH WINTER 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0105,Cost of sales,,1227.67,RJE GROCERY (MALITBOG),JOEL TAMBIS,1,988,V FRESH WINTER 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0105,FRUTOS 50PCSX40,,1454.11,RJE GROCERY (MALITBOG),JOEL TAMBIS,1,830,FRUTOS 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0105,Cost of sales,1130.16,,RJE GROCERY (MALITBOG),JOEL TAMBIS,1,830,FRUTOS 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0105,Cost of sales,,1130.16,RJE GROCERY (MALITBOG),JOEL TAMBIS,1,830,FRUTOS 50PCSX40,CASE,CIFPI
04/11/2023,1100,COL23-04C-0105,RJE GROCERY (MALITBOG),2967.71,,RJE GROCERY (MALITBOG),JOEL TAMBIS,,,,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,V FRESH WINTER 50PCSX40,,1513.6,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,988,V FRESH WINTER 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0106,Cost of sales,1227.67,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,988,V FRESH WINTER 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0106,Cost of sales,,1227.67,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,988,V FRESH WINTER 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,PINTOORA GUMBALL 25PCSX40,,1077.36,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,877,PINTOORA GUMBALL 25PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,1077.36,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0106,Cost of sales,1002.95,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0106,Cost of sales,,1002.95,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,FROOTY RAINBOW POP 25PCSX40,,1275.65,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,865,FROOTY RAINBOW POP 25PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0106,Cost of sales,1000,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,865,FROOTY RAINBOW POP 25PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0106,Cost of sales,,1000,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,865,FROOTY RAINBOW POP 25PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,FRUTOS 50PCSX40,,1454.11,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,830,FRUTOS 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0106,Cost of sales,1130.16,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,830,FRUTOS 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0106,Cost of sales,,1130.16,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,830,FRUTOS 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,POTCHI GUMMY WORMS JAR 120PCSX12,,1250.54,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,749,POTCHI G.WORMS JAR 120PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0106,Cost of sales,941.77,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,749,POTCHI G.WORMS JAR 120PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0106,Cost of sales,,941.77,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,749,POTCHI G.WORMS JAR 120PCSX12,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,POTCHI HOOLA HOOP JAR 120PCX12,,1250.54,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,112,POTCHI HOOLAHOOP JAR 120PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0106,Cost of sales,941.77,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,112,POTCHI HOOLAHOOP JAR 120PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0106,Cost of sales,,941.77,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,112,POTCHI HOOLAHOOP JAR 120PCSX12,CASE,CIFPI
04/11/2023,4000,COL23-04C-0106,PRETZEE CHOCOLATE 100PCSX28G,,611.39,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,1,176,PRETZEE CHOCOLATE 100PCSX28G,CASE,CIFPI
04/11/2023,1100,COL23-04C-0106,BONA CHITA STORE (MALITBOG),9510.55,,BONA CHITA STORE (MALITBOG),JOEL TAMBIS,,,,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,VFRESH AQUA COOL 50PCSX40,,1483.92,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,678,VFRESH AQUA COOL 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,1190.22,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,678,VFRESH AQUA COOL 50PCSX40,CASE,CIFPI
