Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku_type,Principal
3/28/23,4000,COL23-03C-0469,COLUMBIA DISCOUNT,936.17,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),"93,617.07",DSC1,DISCOUNT,Case,CIFPI
3/28/23,4000,COL23-03C-0469,COLUMBIA DISCOUNT,926.81,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),"92,680.90",DSC1,DISCOUNT,Case,CIFPI
3/28/23,1100,COL23-03C-0469,JULMAR COMMERCIAL INC.,"91,754.09",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),,,,Case,CIFPI
3/28/23,4000,COL23-03C-0470,MYBIDA COMBO MIX 10PCSX20,,"2,138.40",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),2,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,5000,COL23-03C-0470,Cost of sales,"1,789.48",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),2,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,"1,789.48",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),2,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,4000,COL23-03C-0470,FROOTY CHOCOLICIOUS 20PCSX50,,"1,215.00",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),1,868,FROOTY CHOCOLICIOUS 20PCSX50,Case,CIFPI
3/28/23,5000,COL23-03C-0470,Cost of sales,940,,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),1,868,FROOTY CHOCOLICIOUS 20PCSX50,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,940,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),1,868,FROOTY CHOCOLICIOUS 20PCSX50,Case,CIFPI
3/28/23,4000,COL23-03C-0470,GUMBALL 50PCSX40,,"2,112.48",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),2,816,GUMBALL 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0470,Cost of sales,"1,909.44",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),2,816,GUMBALL 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,"1,909.44",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),2,816,GUMBALL 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,MONAMI STRAWBERRY&CREAM 50PCSX40,,"4,101.84",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
